Code,Long Name,Income Group,Region,Lending category,Other groups,Currency Unit,Latest population census,Latest household survey,Special Notes,National accounts base year,National accounts reference year,System of National Accounts,SNA price valuation,PPP survey years,Balance of Payments Manual in use,External debt Reporting status,System of trade,Government Accounting concept,IMF data dissemination standard,Source of most recent Income and expenditure data,Vital registration complete,Latest agricultural census,Latest industrial data,Latest trade data,Latest water withdrawal data,2-alpha code,WB-2 code,Table Name,Short Name
AFG,Islamic State of Afghanistan,Low income,South Asia,IDA,HIPC,Afghan afghani,1979,"Demographic and Health Survey, 2015","The reporting period for national accounts data is designated as either calendar year basis (CY) or fiscal year basis (FY). For this country, it is fiscal year-based (fiscal year-end: March 20). Also, an estimate (PA.NUS.ATLS) of the exchange rate covers the same period and thus differs from the official exchange rate (CY).

In addition, the World Bank systematically assesses the appropriateness of official exchange rates as conversion factors. In this country, multiple or dual exchange rate activity exists and must be accounted for appropriately in underlying statistics. An alternative estimate (“alternative conversion factor” - PA.NUS.ATLS) is thus calculated as a weighted average of the different exchange rates in use in the country. Doing so better reflects economic reality and leads to more accurate cross-country comparisons and country classifications by income level. For this country, this applies to the period 1960-2006. Alternative conversion factors are used in the Atlas methodology and elsewhere in World Development Indicators as single-year conversion factors.",2016,,Country uses the 1993 System of National Accounts methodology,Value added at basic prices (VAB),PPPs are imputed for 2011 and 2017 based on a regression model,BPM6,Estimate,General trade system,Consolidated central government,Enhanced General Data Dissemination System (e-GDDS),"Integrated household survey (IHS), 2016/17",,,,2018,2000,AF,AF,Afghanistan,Afghanistan
ALB,Republic of Albania,Upper middle income,Europe & Central Asia,IBRD,,Albanian lek,2020 (expected),"Demographic and Health Survey, 2017/18",,Original chained constant price data are rescaled.,2010,Country uses the 2008 System of National Accounts methodology,Value added at basic prices (VAB),Rolling surveys (annual estimation),BPM6,Actual,Special trade system,Consolidated central government,Enhanced General Data Dissemination System (e-GDDS),"Living Standards Measurement Study Survey (LSMS), 2012",Yes,2012,2013,2018,2006,AL,AL,Albania,Albania
DZA,People's Democratic Republic of Algeria,Lower middle income,Middle East & North Africa,IBRD,,Algerian dinar,2020 (expected),"Multiple Indicator Cluster Survey, 2018/19",,Original chained constant price data are rescaled.,2012,Country uses the 1993 System of National Accounts methodology,Value added at basic prices (VAB),"2017, 2011",BPM6,Actual,Special trade system,Consolidated central government,Enhanced General Data Dissemination System (e-GDDS),"Integrated household survey (IHS), 2011",,,2010,2017,2012,DZ,DZ,Algeria,Algeria
AGO,People's Republic of Angola,Lower middle income,Sub-Saharan Africa,IBRD,,Angolan kwanza,2014,"Demographic and Health Survey, 2015/16","The World Bank systematically assesses the appropriateness of official exchange rates as conversion factors. In this country, multiple or dual exchange rate activity exists and must be accounted for appropriately in underlying statistics. An alternative estimate (“alternative conversion factor” - PA.NUS.ATLS) is thus calculated as a weighted average of the different exchange rates in use in the country. Doing so better reflects economic reality and leads to more accurate cross-country comparisons and country classifications by income level. For this country, this applies to the period 1994-2021. Alternative conversion factors are used in the Atlas methodology and elsewhere in World Development Indicators as single-year conversion factors.",2002,,Country uses the 1993 System of National Accounts methodology,Value added at basic prices (VAB),"2017, 2011",BPM6,Actual,General trade system,Budgetary central government,Enhanced General Data Dissemination System (e-GDDS),"Integrated household survey (IHS), 2008/09",,,,2018,2005,AO,AO,Angola,Angola
ARG,Argentine Republic,Upper middle income,Latin America & Caribbean,IBRD,,Argentine peso,2020 (expected),"Multiple Indicator Cluster Survey, 2019/20","The World Bank systematically assesses the appropriateness of official exchange rates as conversion factors. In this country, multiple or dual exchange rate activity exists and must be accounted for appropriately in underlying statistics. An alternative estimate (“alternative conversion factor” - PA.NUS.ATLS) is thus calculated as a weighted average of the different exchange rates in use in the country. Doing so better reflects economic reality and leads to more accurate cross-country comparisons and country classifications by income level. For this country, this applies to the period 1971-2018. Alternative conversion factors are used in the Atlas methodology and elsewhere in World Development Indicators as single-year conversion factors.",2004,,Country uses the 2008 System of National Accounts methodology,Value added at basic prices (VAB),2017,BPM6,Actual,Special trade system,Consolidated central government,Special Data Dissemination Standard (SDDS),"Integrated household survey (IHS), 2016",Yes,2008,2002,2018,2011,AR,AR,Argentina,Argentina
ARM,Republic of Armenia,Upper middle income,Europe & Central Asia,IBRD,,Armenian dram,2020 (expected),"Demographic and Health Survey, 2015/16",,Original chained constant price data are rescaled.,2012,Country uses the 2008 System of National Accounts methodology,Value added at basic prices (VAB),"2017, 2014, 2011",BPM6,Actual,General trade system,Consolidated central government,Special Data Dissemination Standard (SDDS),"Integrated household survey (IHS), 2016",Yes,2014,,2018,2012,AM,AM,Armenia,Armenia
AZE,Republic of Azerbaijan,Upper middle income,Europe & Central Asia,IBRD,,New Azeri manat,2019,"Demographic and Health Survey, 2006",,Original chained constant price data are rescaled.,2005,Country uses the 1993 System of National Accounts methodology,Value added at basic prices (VAB),"2017, 2014, 2011",BPM6,Actual,General trade system,Consolidated central government,Enhanced General Data Dissemination System (e-GDDS),"Living Standards Measurement Study Survey (LSMS), 2012",Yes,2015,2013,2018,2012,AZ,AZ,Azerbaijan,Azerbaijan
BGD,People's Republic of Bangladesh,Lower middle income,South Asia,IDA,,Bangladeshi taka,2011,"Multiple Indicator Cluster Survey, 2019","The reporting period for national accounts data is designated as either calendar year basis (CY) or fiscal year basis (FY). For this country, it is fiscal year-based (fiscal year-end: June 30). Also, an estimate (PA.NUS.ATLS) of the exchange rate covers the same period and thus differs from the official exchange rate (CY).",2016,,Country uses the 1993 System of National Accounts methodology,Value added at basic prices (VAB),"2017, 2011",BPM6,Actual,General trade system,Budgetary central government,Enhanced General Data Dissemination System (e-GDDS),"Integrated household survey (IHS), 2016",,2008,2011,2015,2008,BD,BD,Bangladesh,Bangladesh
BLR,Republic of Belarus,Upper middle income,Europe & Central Asia,IBRD,,Belarusian rubel,2019,"Multiple Indicator Cluster Survey, 2019","Data before 2015 were adjusted to reflect the new denomination effective from July 1, 2016 (BYN), a decrease of 10,000 times (1 BYN = 10,000 BYR)",Original chained constant price data are rescaled.,2014,Country uses the 2008 System of National Accounts methodology,Value added at basic prices (VAB),"2017, 2014, 2011",BPM6,Actual,General trade system,Consolidated central government,Special Data Dissemination Standard (SDDS),"Integrated household survey (IHS), 2017",Yes,,2014,2018,2013,BY,BY,Belarus,Belarus
BLZ,Belize,Upper middle income,Latin America & Caribbean,IBRD,,Belize dollar,2020 (expected),"Multiple Indicator Cluster Survey, 2015/16",,2000,,Country uses the 1993 System of National Accounts methodology,Value added at basic prices (VAB),"2017, 2011",BPM6,Actual,General trade system,Budgetary central government,Enhanced General Data Dissemination System (e-GDDS),"Labor force survey (LFS), 1999",,2011,1992,2018,2000,BZ,BZ,Belize,Belize
